,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
0,Brenden Aaronson,us USA,Union Berlin,14.1,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,+0.1,22,30,14,3,56,"MF,FW",22,2000
1,Paxten Aaronson,us USA,Eint Frankfurt,1.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,+0.9,1,4,2,0,5,MF,19,2003
2,Junior Adamu,at AUT,Freiburg,1.2,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,"FW,MF",22,2001
3,Sargis Adamyan,am ARM,Köln,8.9,132,189,69.8,1883,483,73,94,77.7,44,64,68.8,5,9,55.6,2,2.0,1.1,0.0,12,16,3,0,18,"FW,MF",30,1993
4,Karim Adeyemi,de GER,Dortmund,10.1,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1,2.0,1.6,-1.0,9,9,10,1,26,"FW,MF",21,2002
5,Amine Adli,ma MAR,Leverkusen,10.0,367,459,80.0,4683,1110,252,291,86.6,91,110,82.7,7,18,38.9,6,2.3,2.9,+3.7,21,19,18,3,39,"MF,FW",23,2000
6,Felix Agu,de GER,Werder Bremen,17.9,488,669,72.9,7657,2921,246,292,84.2,203,253,80.2,27,67,40.3,0,0.6,1.4,-0.6,7,18,16,7,32,"DF,MF",23,1999
7,Ludovic Ajorque,fr FRA,Mainz 05,15.1,318,453,70.2,4546,479,172,241,71.4,105,145,72.4,15,19,78.9,0,1.0,1.6,-1.0,16,21,3,0,21,FW,29,1994
8,Kevin Akpoguma,ng NGA,Hoffenheim,12.2,611,711,85.9,10584,3879,275,302,91.1,277,307,90.2,50,79,63.3,0,0.3,0.4,-0.3,5,71,2,0,55,DF,28,1995
9,Faride Alidou,de GER,Köln,14.2,196,305,64.3,3211,831,97,134,72.4,69,100,69.0,20,41,48.8,0,0.6,0.7,-0.6,14,14,7,3,33,"FW,MF",22,2001
10,Skelly Alvero,fr FRA,Werder Bremen,1.4,59,76,77.6,1098,274,24,35,68.6,25,27,92.6,8,9,88.9,0,0.0,0.0,0.0,1,3,1,0,9,MF,21,2002
11,Nadiem Amiri,de GER,Mainz 05,14.6,567,798,71.1,10700,4288,247,291,84.9,205,263,77.9,94,201,46.8,4,4.3,4.1,-0.3,52,70,17,3,88,MF,26,1996
12,Nadiem Amiri,de GER,Leverkusen,1.0,92,100,92.0,1039,238,70,72,97.2,17,19,89.5,1,1,100.0,0,0.0,0.1,0.0,1,8,2,0,6,MF,26,1996
13,Kofi Amoako,de GER,Wolfsburg,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,MF,18,2005
14,Robert Andrich,de GER,Leverkusen,18.8,1346,1494,90.1,20529,6451,749,789,94.9,487,542,89.9,74,105,70.5,2,1.8,2.2,+0.2,22,117,19,3,97,"MF,DF",28,1994
15,Waldemar Anton,de GER,Stuttgart,32.1,2330,2624,88.8,41479,15026,904,955,94.7,1251,1342,93.2,143,260,55.0,3,1.0,1.5,+2.0,9,163,7,2,172,DF,27,1996
16,Christopher Antwi-Adjei,gh GHA,Bochum,13.5,274,454,60.4,4315,1592,154,187,82.4,80,143,55.9,31,80,38.8,2,3.5,3.0,-1.5,24,11,15,7,28,"FW,MF",29,1994
17,Asaf Arania,il ISR,Darmstadt 98,0.1,4,4,100.0,60,2,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,17,2005
18,Maximilian Arnold,de GER,Wolfsburg,27.8,1285,1582,81.2,25047,7547,497,549,90.5,590,664,88.9,175,316,55.4,1,3.9,4.4,-2.9,48,151,28,11,143,MF,29,1994
19,Arthur,br BRA,Leverkusen,2.0,88,109,80.7,1360,367,53,58,91.4,28,39,71.8,6,8,75.0,2,0.3,0.4,+1.7,5,2,6,5,7,DF,20,2003
20,Takuma Asano,jp JPN,Bochum,22.1,262,397,66.0,3476,855,171,217,78.8,67,96,69.8,11,26,42.3,1,1.3,0.9,-0.3,21,17,13,1,32,"FW,MF",28,1994
21,Jonathan Asp Jensen,dk DEN,Bayern Munich,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,17,2006
22,Noah Atubolu,de GER,Freiburg,34.0,982,1392,70.5,28328,20599,171,173,98.8,468,474,98.7,343,741,46.3,0,0.0,0.2,0.0,0,33,2,0,1,GK,21,2002
23,Matthias Bader,de GER,Darmstadt 98,20.0,687,912,75.3,12501,4100,280,323,86.7,330,394,83.8,67,137,48.9,2,2.3,3.5,-0.3,18,38,22,6,67,"DF,MF",26,1997
24,Ridle Baku,de GER,Wolfsburg,22.4,789,1048,75.3,12508,3955,408,475,85.9,306,403,75.9,58,115,50.4,0,3.0,3.5,-3.0,29,46,26,10,85,"DF,MF",25,1998
25,Samuel Bamba,de GER,Dortmund,0.5,14,20,70.0,207,42,11,12,91.7,1,2,50.0,2,4,50.0,0,0.1,0.1,-0.1,1,0,1,0,2,FW,19,2004
26,Aymen Barkok,ma MAR,Mainz 05,3.6,118,184,64.1,1842,639,64,90,71.1,39,59,66.1,9,20,45.0,0,0.3,0.6,-0.3,5,11,4,1,16,"MF,FW",25,1998
27,Leandro Barreiro Martins,lu LUX,Mainz 05,29.0,679,925,73.4,10846,3124,338,425,79.5,267,344,77.6,54,92,58.7,1,1.1,1.1,-0.1,20,74,12,2,93,MF,23,2000
28,Daniel Batz,de GER,Mainz 05,4.0,104,153,68.0,2854,2094,18,19,94.7,53,55,96.4,33,79,41.8,0,0.0,0.0,0.0,0,5,0,0,0,GK,32,1991
29,Maximilian Bauer,de GER,Augsburg,9.0,423,491,86.2,7834,2619,146,159,91.8,240,265,90.6,30,55,54.5,0,0.0,0.1,0.0,0,28,0,0,25,DF,23,2000
30,Elias Baum,de GER,Eint Frankfurt,0.3,13,17,76.5,193,76,7,9,77.8,6,8,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,"DF,MF",17,2005
31,Oliver Baumann,de GER,Hoffenheim,34.0,1055,1412,74.7,29010,21712,217,219,99.1,508,513,99.0,318,664,47.9,1,0.2,0.1,+0.8,2,24,2,0,1,GK,33,1990
32,Christoph Baumgartner,at AUT,RB Leipzig,12.9,340,456,74.6,4651,1244,189,236,80.1,112,137,81.8,14,26,53.8,1,1.6,1.6,-0.6,16,31,12,1,47,"MF,FW",23,1999
33,Ihlas Bebou,tg TOG,Hoffenheim,18.2,360,514,70.0,5117,1476,208,262,79.4,106,158,67.1,20,34,58.8,5,2.6,3.0,+2.4,15,9,15,4,38,"FW,DF",29,1994
34,Adrian Beck,de GER,Heidenheim,10.8,311,431,72.2,5102,1027,157,203,77.3,122,149,81.9,23,36,63.9,1,0.8,0.6,+0.2,11,25,5,0,29,"MF,FW",26,1997
35,Sheraldo Becker,sr SUR,Union Berlin,7.2,183,280,65.4,3161,770,92,117,78.6,70,108,64.8,18,36,50.0,1,1.8,1.6,-0.8,12,15,12,7,20,"FW,MF",28,1995
36,Chris Bedia,ci CIV,Union Berlin,1.6,14,20,70.0,140,19,10,13,76.9,3,5,60.0,0,0,,0,0.2,0.2,-0.2,3,0,0,0,1,"FW,MF",27,1996
37,Donny van de Beek,nl NED,Eint Frankfurt,4.0,109,139,78.4,1428,365,67,75,89.3,30,38,78.9,3,6,50.0,0,0.4,0.6,-0.4,3,8,2,0,10,"MF,FW",26,1997
38,Kevin Behrens,de GER,Wolfsburg,6.8,112,175,64.0,1539,251,63,93,67.7,36,48,75.0,3,9,33.3,1,0.9,0.9,+0.1,8,9,8,1,17,FW,32,1991
39,Kevin Behrens,de GER,Union Berlin,14.0,215,336,64.0,3380,842,116,162,71.6,67,97,69.1,22,34,64.7,0,0.9,1.2,-0.9,16,24,7,0,45,FW,32,1991
40,Maximilian Beier,de GER,Hoffenheim,26.9,384,550,69.8,4753,790,241,299,80.6,101,152,66.4,7,17,41.2,1,2.4,3.0,-1.4,24,7,27,9,30,"FW,MF",20,2002
41,Stefan Bell,de GER,Mainz 05,7.4,297,370,80.3,5526,2509,122,137,89.1,141,163,86.5,31,60,51.7,0,0.1,0.3,-0.1,1,16,3,1,23,DF,31,1991
42,Ramy Bensebaini,dz ALG,Dortmund,11.5,702,851,82.5,11465,3639,343,383,89.6,299,338,88.5,44,79,55.7,0,0.4,0.9,-0.4,6,62,9,1,75,DF,28,1995
43,Mergim Berisha,de GER,Hoffenheim,1.6,22,33,66.7,290,91,11,15,73.3,7,10,70.0,1,2,50.0,0,0.3,0.1,-0.3,2,2,1,0,3,FW,25,1998
44,Mergim Berisha,de GER,Augsburg,1.4,10,14,71.4,142,73,6,8,75.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,2,1,1,1,1,FW,25,1998
45,Bernardo,br BRA,Bochum,32.5,1167,1622,71.9,20655,8434,528,639,82.6,495,651,76.0,118,240,49.2,0,0.5,1.3,-0.5,13,122,14,10,127,DF,28,1995
46,Matúš Bero,sk SVK,Bochum,18.5,355,535,66.4,5487,1750,181,241,75.1,129,181,71.3,26,53,49.1,1,1.3,1.9,-0.3,11,37,11,2,48,"MF,FW",27,1995
47,Jan-Niklas Beste,de GER,Heidenheim,28.9,543,947,57.3,10762,4487,242,316,76.6,168,292,57.5,116,256,45.3,11,5.7,6.3,+5.3,70,26,30,17,57,"FW,MF",24,1999
48,Pep Biel,es ESP,Augsburg,3.2,99,123,80.5,1673,542,51,54,94.4,32,41,78.0,11,19,57.9,0,0.2,0.3,-0.2,4,15,4,2,16,"MF,FW",26,1996
49,Tom Bischof,de GER,Hoffenheim,2.0,90,112,80.4,1501,532,45,53,84.9,33,37,89.2,7,11,63.6,2,0.8,0.8,+1.2,5,11,4,2,18,"MF,FW",18,2005
50,Leonardo Bittencourt,de GER,Werder Bremen,17.5,665,829,80.2,10812,2713,323,367,88.0,263,314,83.8,55,98,56.1,2,2.9,2.7,-0.9,26,64,20,7,85,MF,29,1993
51,Hendry Blank,de GER,Dortmund,0.5,58,59,98.3,1016,285,26,26,100.0,27,27,100.0,5,6,83.3,0,0.0,0.0,0.0,0,1,0,0,1,DF,18,2004
52,Janis Blaswich,de GER,RB Leipzig,21.0,836,957,87.4,19207,10184,179,183,97.8,493,497,99.2,163,274,59.5,0,0.1,0.1,-0.1,1,10,0,0,3,GK,32,1991
53,Sacha Boey,fr FRA,Bayern Munich,1.2,58,69,84.1,745,210,41,47,87.2,15,16,93.8,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,5,DF,22,2000
54,Victor Boniface,ng NGA,Leverkusen,17.2,278,385,72.2,3892,732,162,209,77.5,87,103,84.5,13,24,54.2,8,3.7,3.3,+4.3,22,13,13,0,34,FW,22,2000
55,Leonardo Bonucci,it ITA,Union Berlin,5.1,190,248,76.6,4063,1911,51,58,87.9,105,118,89.0,31,67,46.3,0,0.3,0.1,-0.3,2,17,2,1,21,DF,36,1987
56,Yvandro Borges Sanches,lu LUX,Gladbach,0.2,7,11,63.6,127,10,4,5,80.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,0,"MF,FW",19,2004
57,Sebastiaan Bornauw,be BEL,Wolfsburg,15.9,737,842,87.5,13040,4770,301,323,93.2,382,413,92.5,51,97,52.6,0,0.4,0.1,-0.4,3,23,0,0,41,DF,24,1999
58,Rafael Borré,co COL,Werder Bremen,11.0,223,301,74.1,3375,679,135,166,81.3,63,82,76.8,13,20,65.0,0,1.8,1.9,-1.8,13,20,9,3,28,FW,27,1995
59,Julian Brandt,de GER,Dortmund,24.7,1054,1319,79.9,17725,4294,519,584,88.9,360,424,84.9,128,220,58.2,11,9.5,7.5,+1.5,80,63,32,8,116,"MF,FW",27,1996
60,Fabian Bredlow,de GER,Stuttgart,4.0,136,179,76.0,3385,2506,38,39,97.4,58,59,98.3,40,81,49.4,0,0.0,0.0,0.0,0,1,0,0,0,GK,28,1995
61,Tim Breithaupt,de GER,Augsburg,7.0,232,281,82.6,3821,1252,105,122,86.1,110,122,90.2,12,23,52.2,0,0.1,0.3,-0.1,3,20,3,0,21,MF,21,2002
62,Maximilian Breunig,de GER,Freiburg,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,22,2000
63,Bennit Bröger,de GER,Wolfsburg,0.1,2,4,50.0,13,0,2,3,66.7,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,17,2006
64,John Brooks,us USA,Hoffenheim,17.1,740,892,83.0,15150,6266,230,255,90.2,400,447,89.5,103,170,60.6,0,0.1,0.3,-0.1,3,56,3,1,61,DF,30,1993
65,Moritz Broschinski,de GER,Bochum,13.9,135,223,60.5,1682,261,96,132,72.7,30,50,60.0,4,8,50.0,3,1.8,0.9,+1.2,15,7,9,3,10,FW,22,2000
66,Alexander Brunst,de GER,Darmstadt 98,3.0,103,150,68.7,3309,2597,19,20,95.0,36,37,97.3,47,92,51.1,0,0.0,0.0,0.0,0,7,0,0,0,GK,28,1995
67,Marius Bülter,de GER,Hoffenheim,15.0,500,695,71.9,8626,3041,243,275,88.4,202,274,73.7,48,104,46.2,4,3.4,4.3,+0.6,21,35,22,11,60,"DF,FW",30,1993
68,Jonathan Burkardt,de GER,Mainz 05,17.1,266,394,67.5,3883,771,161,207,77.8,73,113,64.6,20,35,57.1,2,2.1,1.0,-0.1,15,20,8,5,28,"FW,MF",23,2000
69,Oliver Burke,sct SCO,Werder Bremen,0.4,6,12,50.0,98,18,2,4,50.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,FW,26,1997
70,Marnon Busch,de GER,Heidenheim,6.6,282,411,68.6,5437,2102,118,140,84.3,124,172,72.1,38,78,48.7,0,0.3,0.5,-0.3,5,32,9,2,34,DF,28,1994
71,Aurélio Buta,pt POR,Eint Frankfurt,19.4,875,1112,78.7,12888,4356,502,570,88.1,293,378,77.5,47,96,49.0,1,0.7,1.7,+0.3,9,71,26,6,90,"DF,MF",26,1997
72,Jamie Bynoe-Gittens,eng ENG,Dortmund,11.8,284,363,78.2,3681,732,196,226,86.7,69,85,81.2,10,22,45.5,4,2.8,3.0,+1.2,18,14,15,2,26,"FW,MF",18,2004
73,Anthony Caci,fr FRA,Mainz 05,27.6,1118,1523,73.4,21669,9351,448,531,84.4,484,626,77.3,167,290,57.6,3,2.9,3.5,+0.1,25,123,39,14,144,DF,26,1997
74,Emre Can,de GER,Dortmund,21.7,1286,1471,87.4,22739,7316,545,603,90.4,603,656,91.9,114,157,72.6,2,1.5,1.3,+0.5,20,110,8,0,110,"MF,DF",29,1994
75,Irvin Cardona,fr FRA,Augsburg,0.6,8,15,53.3,132,70,4,4,100.0,4,9,44.4,0,1,0.0,0,0.0,0.1,0.0,0,1,0,0,2,"MF,DF",25,1997
76,Rasmus Carstensen,dk DEN,Köln,18.4,594,827,71.8,8927,3429,330,386,85.5,231,302,76.5,23,69,33.3,0,2.6,3.3,-2.6,16,27,20,9,52,"DF,FW",22,2000
77,Fabio Carvalho,pt POR,RB Leipzig,1.8,72,92,78.3,855,219,54,60,90.0,14,21,66.7,2,5,40.0,0,0.2,0.2,-0.2,2,6,6,1,9,MF,20,2002
78,Koen Casteels,be BEL,Wolfsburg,25.0,688,949,72.5,20991,15027,104,105,99.0,300,305,98.4,283,535,52.9,0,0.2,0.1,-0.2,1,29,0,0,1,GK,31,1992
79,Václav Černý,cz CZE,Wolfsburg,10.2,255,364,70.1,3926,1237,145,173,83.8,71,109,65.1,24,45,53.3,1,0.9,2.5,+0.1,14,21,21,2,37,"FW,MF",25,1997
80,Julian Chabot,de GER,Köln,30.0,1361,1616,84.2,25807,10115,498,548,90.9,725,798,90.9,127,245,51.8,0,0.4,1.5,-0.4,9,81,5,1,71,DF,25,1998
81,El Chadaille Bitshiabu,fr FRA,RB Leipzig,0.4,48,59,81.4,829,270,24,26,92.3,17,22,77.3,7,9,77.8,0,0.0,0.0,0.0,0,2,0,0,1,"DF,MF",18,2005
82,Fares Chaïbi,dz ALG,Eint Frankfurt,21.2,592,922,64.2,10022,3251,303,382,79.3,191,285,67.0,73,180,40.6,4,6.8,6.1,-2.8,51,57,39,10,86,"MF,FW",20,2002
83,Timothy Chandler,us USA,Eint Frankfurt,0.2,18,26,69.2,323,145,7,8,87.5,9,12,75.0,2,4,50.0,1,0.1,0.1,+0.9,2,2,1,0,5,"MF,DF",33,1990
84,Fabio Chiarodia,it ITA,Gladbach,1.7,78,87,89.7,1232,439,43,46,93.5,33,35,94.3,2,6,33.3,0,0.1,0.2,-0.1,1,3,1,1,4,DF,18,2005
85,Jacob Christensen,dk DEN,Köln,2.4,66,85,77.6,1160,453,28,32,87.5,31,38,81.6,6,13,46.2,0,0.1,0.1,-0.1,2,8,1,0,12,MF,22,2001
86,Nnamdi Collins,de GER,Eint Frankfurt,1.0,61,75,81.3,1011,387,23,26,88.5,35,39,89.7,2,7,28.6,0,0.0,0.1,0.0,0,8,0,0,13,DF,19,2004
87,Kingsley Coman,fr FRA,Bayern Munich,12.4,528,647,81.6,8358,1597,285,330,86.4,206,233,88.4,26,45,57.8,3,3.8,4.5,-0.8,29,19,41,8,72,FW,27,1996
88,Bambasé Conté,de GER,Hoffenheim,0.5,19,24,79.2,228,61,14,15,93.3,4,6,66.7,1,3,33.3,0,0.0,0.0,0.0,1,3,1,0,2,"MF,FW",20,2003
89,Danny da Costa,de GER,Mainz 05,9.2,317,470,67.4,5513,2576,144,177,81.4,126,193,65.3,37,69,53.6,1,1.2,1.3,-0.2,9,27,16,9,40,DF,30,1993
90,Nicolas Cozza,fr FRA,Wolfsburg,3.1,147,192,76.6,2373,782,76,88,86.4,61,79,77.2,8,18,44.4,0,0.1,0.2,-0.1,2,19,2,2,16,DF,24,1999
91,Tomáš Čvančara,cz CZE,Gladbach,10.0,137,216,63.4,1668,384,91,133,68.4,36,53,67.9,3,3,100.0,1,0.7,0.8,+0.3,7,7,4,2,13,FW,22,2000
92,Finn Dahmen,de GER,Augsburg,31.0,1025,1345,76.2,27889,18248,166,168,98.8,556,566,98.2,299,600,49.8,0,0.1,0.2,-0.1,1,44,1,0,3,GK,25,1998
93,Mahmoud Dahoud,de GER,Stuttgart,2.5,205,235,87.2,3140,829,117,126,92.9,63,71,88.7,16,24,66.7,0,0.5,0.9,-0.5,7,19,3,1,19,MF,27,1996
94,Lukas Daschner,de GER,Bochum,6.0,107,179,59.8,1382,483,64,90,71.1,30,49,61.2,3,17,17.6,1,1.0,1.2,0.0,10,8,7,2,17,"MF,FW",24,1998
95,David Datro Fofana,ci CIV,Union Berlin,7.6,106,152,69.7,1536,346,65,83,78.3,25,39,64.1,9,10,90.0,0,0.3,0.3,-0.3,5,5,8,2,14,"FW,MF",20,2002
96,Alphonso Davies,ca CAN,Bayern Munich,22.9,1440,1642,87.7,20701,5332,847,929,91.2,536,589,91.0,27,52,51.9,5,2.9,3.3,+2.1,37,88,31,7,117,DF,22,2000
97,Olivier Deman,be BEL,Werder Bremen,15.2,543,730,74.4,9637,3323,244,284,85.9,226,289,78.2,63,111,56.8,1,0.9,1.3,+0.1,13,34,15,8,40,DF,23,2000
98,Ermedin Demirović,ba BIH,Augsburg,31.9,371,574,64.6,4996,1174,202,289,69.9,129,165,78.2,8,14,57.1,9,3.9,3.7,+5.1,33,40,17,1,60,"FW,MF",25,1998
99,Sepp van den Berg,nl NED,Mainz 05,31.5,1190,1469,81.0,21938,7392,421,497,84.7,657,764,86.0,94,163,57.7,0,0.3,0.4,-0.3,7,86,4,0,95,DF,21,2001
100,Samuele Di Benedetto,de GER,Stuttgart,0.1,10,11,90.9,107,2,7,7,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,MF,18,2005
101,Justin Diehl,de GER,Köln,1.9,41,64,64.1,657,189,21,25,84.0,13,20,65.0,5,14,35.7,0,0.2,0.2,-0.2,5,1,2,1,2,"FW,MF",18,2004
102,Eric Dier,eng ENG,Bayern Munich,13.0,1042,1143,91.2,20714,8102,327,352,92.9,611,639,95.6,102,134,76.1,0,0.1,0.4,-0.1,2,61,1,1,53,DF,29,1994
103,Florian Dietz,de GER,Köln,0.8,13,19,68.4,135,12,12,14,85.7,1,2,50.0,0,0,,0,0.1,0.0,-0.1,2,0,0,0,0,"FW,MF",24,1998
104,Junior Dina Ebimbe,fr FRA,Eint Frankfurt,21.7,715,935,76.5,10995,2999,379,451,84.0,275,343,80.2,38,65,58.5,3,2.9,3.7,+0.1,20,62,19,3,79,"MF,DF",22,2000
105,Eren Dinkçi,de GER,Heidenheim,29.4,508,819,62.0,8305,3108,257,360,71.4,181,266,68.0,46,86,53.5,5,3.7,3.7,+1.3,36,65,33,15,89,"FW,MF",21,2001
106,Ritsu Doan,jp JPN,Freiburg,25.0,504,713,70.7,7391,2663,310,367,84.5,151,210,71.9,27,79,34.2,2,3.1,4.2,-1.1,31,49,22,4,78,"DF,MF",25,1998
107,Danilho Doekhi,nl NED,Union Berlin,24.0,738,919,80.3,13735,5232,273,311,87.8,379,434,87.3,72,146,49.3,0,0.2,1.0,-0.2,4,67,9,1,65,DF,25,1998
108,Niklas Dorsch,de GER,Augsburg,15.4,545,628,86.8,9719,2395,230,248,92.7,264,288,91.7,45,75,60.0,0,0.1,0.3,-0.1,3,41,2,1,47,MF,25,1998
109,Nikola Dovedan,at AUT,Heidenheim,7.3,125,204,61.3,2162,589,60,84,71.4,50,69,72.5,10,27,37.0,1,0.6,0.8,+0.4,8,12,3,0,22,"MF,FW",29,1994
110,Damion Downs,de GER,Köln,2.0,24,36,66.7,316,48,14,18,77.8,3,5,60.0,3,4,75.0,0,0.0,0.1,0.0,0,0,1,1,0,"FW,MF",19,2004
111,Dion Drena Beljo,hr CRO,Augsburg,6.5,115,160,71.9,1717,335,55,77,71.4,47,59,79.7,4,6,66.7,0,0.5,0.8,-0.5,8,5,8,1,20,"FW,MF",21,2002
112,Tim Drexler,de GER,Hoffenheim,6.4,315,349,90.3,5021,1532,158,168,94.0,141,148,95.3,11,22,50.0,0,0.0,0.0,0.0,1,14,0,0,12,DF,18,2005
113,Marvin Ducksch,de GER,Werder Bremen,30.0,566,950,59.6,9838,3256,273,360,75.8,184,300,61.3,84,203,41.4,9,7.8,6.5,+1.2,58,41,30,2,88,FW,29,1994
114,Julien Duranville,be BEL,Dortmund,0.1,0,4,0.0,0,0,0,0,,0,3,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,"FW,MF",17,2006
115,Maximilian Eggestein,de GER,Freiburg,32.4,1080,1330,81.2,16943,5068,528,611,86.4,463,523,88.5,55,82,67.1,2,2.8,2.4,-0.8,25,103,20,1,162,MF,26,1996
116,Lilian Egloff,de GER,Stuttgart,1.2,32,41,78.0,481,131,16,17,94.1,11,15,73.3,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,2,"MF,DF",20,2002
117,Hugo Ekitike,fr FRA,Eint Frankfurt,8.0,131,193,67.9,1934,348,77,110,70.0,38,49,77.6,11,13,84.6,2,1.7,1.5,+0.3,12,13,3,1,9,FW,21,2002
118,Elif Elmas,mk MKD,RB Leipzig,3.0,100,120,83.3,1288,291,66,73,90.4,29,31,93.5,1,5,20.0,0,0.1,0.4,-0.1,2,6,2,0,9,"MF,FW",23,1999
119,Nico Elvedi,ch SUI,Gladbach,27.6,1500,1690,88.8,26281,8034,585,646,90.6,821,874,93.9,72,124,58.1,1,0.1,0.4,+0.9,3,74,4,1,109,DF,26,1996
120,Arne Engels,be BEL,Augsburg,15.6,394,587,67.1,7179,2583,171,213,80.3,160,210,76.2,50,113,44.2,2,1.2,1.8,+0.8,19,35,17,6,52,"MF,DF",19,2003
121,Ohis Felix Uduokhai,de GER,Augsburg,32.5,1349,1658,81.4,25826,9681,477,549,86.9,725,815,89.0,132,261,50.6,0,0.8,1.3,-0.8,9,93,5,0,101,DF,25,1997
122,Edimilson Fernandes,ch SUI,Mainz 05,14.3,615,801,76.8,12814,5042,214,242,88.4,295,335,88.1,98,200,49.0,2,0.7,1.9,+1.3,18,54,11,3,53,DF,27,1996
123,Nacho Ferri,es ESP,Eint Frankfurt,0.8,13,26,50.0,149,46,11,14,78.6,2,8,25.0,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,2,"FW,MF",18,2004
124,Max Finkgräfe,de GER,Köln,19.5,598,859,69.6,10280,4077,277,339,81.7,270,355,76.1,45,118,38.1,0,1.6,1.6,-1.6,23,46,12,7,53,"DF,FW",19,2004
125,Kilian Fischer,de GER,Wolfsburg,3.2,104,148,70.3,1728,588,56,65,86.2,42,59,71.2,6,16,37.5,0,0.1,0.3,-0.1,2,5,3,1,6,"DF,MF",22,2000
126,Jonas Föhrenbach,de GER,Heidenheim,31.0,1046,1462,71.5,20703,9260,382,457,83.6,508,652,77.9,146,288,50.7,0,0.8,1.4,-0.8,13,74,24,13,96,DF,27,1996
127,Emil Forsberg,se SWE,RB Leipzig,5.2,163,199,81.9,2572,551,95,107,88.8,54,60,90.0,12,17,70.6,1,0.9,0.4,+0.1,6,14,3,0,22,"MF,FW",31,1991
128,Philipp Förster,de GER,Bochum,4.3,156,208,75.0,2499,694,84,101,83.2,54,80,67.5,14,19,73.7,0,0.5,0.8,-0.5,9,9,8,3,21,"MF,FW",28,1995
129,Bartol Franjić,hr CRO,Darmstadt 98,13.7,462,556,83.1,8068,1949,203,240,84.6,211,234,90.2,40,56,71.4,1,0.2,0.3,+0.8,2,39,2,1,50,MF,23,2000
130,Marco Friedl,at AUT,Werder Bremen,24.4,930,1081,86.0,19543,6566,250,275,90.9,536,572,93.7,141,215,65.6,0,0.1,0.3,-0.1,1,49,4,1,59,DF,25,1998
131,Marvin Friedrich,de GER,Gladbach,17.4,755,905,83.4,12979,5177,315,334,94.3,390,429,90.9,39,111,35.1,0,0.2,0.1,-0.2,5,29,1,0,34,DF,27,1995
132,Jeremie Frimpong,nl NED,Leverkusen,25.0,797,1026,77.7,10923,2301,541,622,87.0,206,279,73.8,29,49,59.2,7,5.9,5.4,+1.1,45,20,36,15,49,DF,22,2000
133,Chris Führich,de GER,Stuttgart,28.5,1112,1370,81.2,15384,4203,666,737,90.4,325,391,83.1,52,121,43.0,7,8.0,9.2,-1.0,53,59,61,9,145,"FW,MF",25,1998
134,Shiō Fukuda,jp JPN,Gladbach,0.4,3,6,50.0,34,5,2,2,100.0,1,4,25.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,"FW,MF",19,2004
135,Niclas Füllkrug,de GER,Werder Bremen,2.0,48,66,72.7,799,274,27,33,81.8,15,22,68.2,6,7,85.7,0,0.3,0.4,-0.3,2,7,2,0,9,FW,30,1993
136,Niclas Füllkrug,de GER,Dortmund,24.6,378,572,66.1,4822,1141,241,340,70.9,75,110,68.2,23,36,63.9,8,3.1,3.3,+4.9,34,25,16,1,49,FW,30,1993
137,Cristian Gamboa,cr CRC,Bochum,13.2,350,475,73.7,6353,2438,155,175,88.6,146,187,78.1,43,97,44.3,1,0.5,0.9,+0.5,10,28,12,6,33,DF,33,1989
