,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
0,Patrick van Aanholt,nl NED,nl PSV Eindhoven,1.1,38,45,84.4,630,214,17,19,89.5,18,20,90.0,2,2,100.0,0,0.0,0.0,0.0,1,3,0,0,3,"MF,DF",32,1990
1,Brenden Aaronson,us USA,de Union Berlin,1.5,29,40,72.5,471,168,16,20,80.0,11,14,78.6,2,3,66.7,0,0.0,0.0,0.0,0,6,0,0,2,MF,22,2000
2,Salis Abdul Samed,gh GHA,fr Lens,5.5,166,193,86.0,2551,681,87,100,87.0,65,74,87.8,9,11,81.8,0,0.3,0.3,-0.3,6,18,1,0,13,MF,23,2000
3,Francesco Acerbi,it ITA,it Inter,4.7,261,304,85.9,4640,1353,101,113,89.4,134,150,89.3,21,29,72.4,1,0.3,0.1,+0.7,1,12,1,1,22,DF,35,1988
4,Elias Achouri,tn TUN,dk FC Copenhagen,6.1,126,182,69.2,1740,436,75,88,85.2,45,58,77.6,2,15,13.3,1,0.9,1.6,+0.1,5,4,6,2,16,"FW,MF",24,1999
5,Marcos Acuña,ar ARG,es Sevilla,2.2,59,87,67.8,986,382,33,35,94.3,18,27,66.7,7,17,41.2,1,0.5,0.4,+0.5,1,4,4,2,5,DF,31,1991
6,Karim Adeyemi,de GER,de Dortmund,7.9,149,200,74.5,2112,506,93,114,81.6,31,40,77.5,11,17,64.7,1,1.4,1.0,-0.4,14,5,8,3,12,FW,21,2002
7,Yacine Adli,fr FRA,it Milan,1.4,74,91,81.3,1539,471,34,38,89.5,24,32,75.0,16,21,76.2,0,0.1,0.1,-0.1,2,11,2,1,11,MF,23,2000
8,Ruben Aguilar,fr FRA,fr Lens,1.1,33,43,76.7,400,231,22,25,88.0,9,15,60.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2,DF,30,1993
9,Manuel Akanji,ch SUI,eng Manchester City,7.4,618,652,94.8,9842,2622,324,334,97.0,253,262,96.6,32,39,82.1,0,0.6,0.5,-0.6,5,51,6,0,47,"DF,MF",28,1995
10,Nathan Aké,nl NED,eng Manchester City,4.3,406,422,96.2,6460,1869,209,213,98.1,174,182,95.6,19,21,90.5,0,0.4,0.5,-0.4,6,45,4,2,32,"DF,MF",28,1995
11,Kerem Aktürkoğlu,tr TUR,tr Galatasaray,4.9,92,141,65.2,1476,537,48,60,80.0,25,39,64.1,12,25,48.0,0,0.9,1.5,-0.9,9,6,8,3,13,"MF,FW",24,1998
12,David Alaba,at AUT,es Real Madrid,2.8,190,212,89.6,3007,924,100,101,99.0,77,85,90.6,10,21,47.6,1,0.4,0.4,+0.6,2,11,3,2,6,DF,31,1992
13,Luis Alberto,es ESP,it Lazio,7.1,396,497,79.7,6671,2102,200,222,90.1,155,187,82.9,34,69,49.3,1,2.2,2.2,-1.2,21,57,12,1,71,MF,30,1992
14,Toby Alderweireld,be BEL,be Antwerp,5.0,263,319,82.4,5980,2204,68,76,89.5,141,151,93.4,51,85,60.0,0,0.1,0.4,-0.1,3,29,1,1,18,DF,34,1989
15,Mohamed Ali Cho,fr FRA,es Real Sociedad,1.5,22,31,71.0,301,51,12,14,85.7,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,1,1,1,1,2,"FW,MF",19,2004
16,Miguel Almirón,py PAR,eng Newcastle Utd,4.6,117,156,75.0,1732,522,69,85,81.2,40,49,81.6,5,11,45.5,1,0.6,0.7,+0.4,4,6,5,0,23,FW,29,1994
17,Marcos Alonso,es ESP,es Barcelona,1.5,79,94,84.0,1399,316,42,45,93.3,29,33,87.9,8,13,61.5,0,0.0,0.1,0.0,1,5,1,1,9,"DF,FW",32,1990
18,Barış Alper Yılmaz,tr TUR,tr Galatasaray,1.4,31,39,79.5,403,74,23,28,82.1,7,7,100.0,1,3,33.3,1,0.5,0.1,+0.5,1,0,1,0,1,"FW,MF",23,2000
19,Julián Álvarez,ar ARG,eng Manchester City,3.1,157,184,85.3,2294,534,106,112,94.6,35,47,74.5,12,18,66.7,2,1.3,0.9,+0.7,16,11,3,0,19,"MF,FW",23,2000
20,Mohamed Aly Camara,gn GUI,ch Young Boys,5.0,172,214,80.4,3530,1060,41,47,87.2,110,123,89.4,19,41,46.3,1,0.0,0.1,+1.0,2,10,1,0,13,DF,25,1997
21,Aurele Amenda,ch SUI,ch Young Boys,3.5,125,143,87.4,2926,759,24,28,85.7,71,76,93.4,30,35,85.7,0,0.0,0.0,0.0,1,7,0,0,6,DF,20,2003
22,Sofyan Amrabat,ma MAR,eng Manchester Utd,3.6,151,176,85.8,2690,723,57,64,89.1,82,95,86.3,10,13,76.9,0,0.1,0.3,-0.1,1,9,1,1,12,"MF,DF",26,1996
23,Elliot Anderson,sct SCO,eng Newcastle Utd,0.5,11,15,73.3,136,45,8,8,100.0,3,4,75.0,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,1,MF,20,2002
24,Felipe Anderson,br BRA,it Lazio,6.0,189,242,78.1,2750,692,113,126,89.7,67,88,76.1,6,11,54.5,1,1.3,1.0,-0.3,11,10,10,2,26,FW,30,1993
25,Angeliño,es ESP,tr Galatasaray,4.7,200,282,70.9,3300,1177,106,131,80.9,76,107,71.0,15,30,50.0,0,0.1,0.3,-0.1,3,17,6,2,26,DF,26,1997
26,Peter Ankersen,dk DEN,dk FC Copenhagen,5.2,186,249,74.7,3127,846,98,111,88.3,65,84,77.4,19,43,44.2,0,0.3,0.4,-0.3,5,10,5,5,11,DF,32,1990
27,Antony,br BRA,eng Manchester Utd,2.6,64,82,78.0,871,291,36,43,83.7,23,27,85.2,1,2,50.0,0,0.1,0.3,-0.1,1,5,5,0,14,FW,23,2000
28,Jon Aramburu,ve VEN,es Real Sociedad,0.0,3,4,75.0,42,4,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,DF,21,2002
29,Ronald Araújo,uy URU,es Barcelona,7.3,377,438,86.1,7551,2570,108,120,90.0,230,248,92.7,38,63,60.3,0,0.3,0.3,-0.3,6,29,0,0,27,DF,24,1999
30,Tomás Araújo,pt POR,pt Benfica,1.8,70,89,78.7,1336,489,26,35,74.3,29,32,90.6,11,16,68.8,0,0.0,0.0,0.0,1,6,0,0,5,DF,21,2002
31,Marko Arnautović,at AUT,it Inter,2.1,23,35,65.7,313,23,13,18,72.2,10,13,76.9,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,FW,34,1989
32,Kepa Arrizabalaga,es ESP,es Real Madrid,4.0,128,142,90.1,2995,1901,31,31,100.0,69,70,98.6,28,41,68.3,0,0.0,0.0,0.0,0,0,0,0,0,GK,28,1994
33,Marco Asensio,es ESP,fr Paris S-G,1.4,50,59,84.7,857,177,27,30,90.0,18,19,94.7,5,7,71.4,0,0.2,0.0,-0.2,3,4,1,0,9,"FW,MF",27,1996
34,Kristjan Asllani,al ALB,it Inter,2.3,141,156,90.4,2773,628,47,50,94.0,78,82,95.1,16,21,76.2,0,0.2,0.3,-0.2,1,9,1,0,14,MF,21,2002
35,Otavio Ataide,br BRA,pt Porto,2.3,72,102,70.6,1618,528,20,21,95.2,38,43,88.4,14,35,40.0,1,0.0,0.0,+1.0,1,4,0,0,2,DF,21,2002
36,Emil Audero,it ITA,it Inter,1.0,35,37,94.6,804,485,6,6,100.0,21,21,100.0,8,10,80.0,0,0.0,0.0,0.0,0,0,0,0,0,GK,26,1997
37,Carlos Augusto,br BRA,it Inter,5.3,203,274,74.1,3356,1075,113,136,83.1,69,94,73.4,19,34,55.9,0,0.1,0.1,-0.1,2,15,2,1,15,"DF,FW",24,1999
38,Yann Aurel Bisseck,de GER,it Inter,1.9,147,159,92.5,2434,737,70,73,95.9,64,68,94.1,10,13,76.9,0,0.1,0.2,-0.1,1,10,3,3,12,DF,22,2000
39,Fredrik Aursnes,no NOR,pt Benfica,6.0,252,325,77.5,4071,1465,121,140,86.4,97,117,82.9,20,43,46.5,1,0.8,1.2,+0.2,6,22,1,0,24,"DF,MF",27,1995
40,Kaan Ayhan,tr TUR,tr Galatasaray,4.2,159,209,76.1,2578,701,72,87,82.8,71,86,82.6,11,23,47.8,0,0.2,0.1,-0.2,2,18,1,0,18,"MF,DF",28,1994
