,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
0,Tammy Abraham,eng ENG,Roma,2.7,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0,0.1,0.0,-0.1,3,1,1,0,4,FW,26-244,1997
1,Francesco Acerbi,it ITA,Inter,26.5,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,DF,36-113,1988
2,Yacine Adli,fr FRA,Milan,15.6,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2.0,-0.2,22,149,16,6,125,MF,23-309,2000
3,Michel Aebischer,ch SUI,Bologna,24.8,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,MF,27-148,1997
4,Lucien Agoume,fr FRA,Inter,0.1,5,5,100.0,75,7,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,22-114,2002
5,Marley Aké,fr FRA,Udinese,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,23-149,2001
6,Ebenezer Akinsanmiro,ng NGA,Inter,0.2,7,8,87.5,83,45,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,1,1,0,2,MF,19-190,2004
7,Jean-Daniel Akpa-Akpro,ci CIV,Monza,7.8,220,263,83.7,3557,826,113,128,88.3,95,104,91.3,12,15,80.0,0,0.1,0.2,-0.1,1,14,0,0,10,MF,31-235,1992
8,David Akpan Ankeye,ng NGA,Genoa,0.6,8,9,88.9,85,20,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.4,0.0,0,0,1,0,1,FW,22-109,2002
9,Luis Alberto,es ESP,Lazio,25.7,1303,1679,77.6,20459,6568,711,797,89.2,442,538,82.2,104,239,43.5,7,4.7,4.8,+2.3,64,172,48,4,212,MF,31-248,1992
10,Carlos Alcaraz,ar ARG,Juventus,4.2,143,165,86.7,2573,754,68,79,86.1,56,62,90.3,17,19,89.5,1,0.1,0.4,+0.9,2,20,4,0,27,MF,21-185,2002
11,Pontus Almqvist,se SWE,Lecce,23.4,351,478,73.4,4689,1071,224,282,79.4,85,120,70.8,17,20,85.0,1,2.7,1.8,-1.7,27,14,12,4,32,"FW,MF",24-328,1999
12,Lorenzo Amatucci,it ITA,Fiorentina,0.2,22,25,88.0,449,101,6,7,85.7,14,14,100.0,2,2,100.0,0,0.0,0.1,0.0,0,3,0,0,2,MF,20-118,2004
13,Bruno Amione,ar ARG,Hellas Verona,6.4,217,273,79.5,3776,1390,83,99,83.8,114,132,86.4,15,33,45.5,0,0.0,0.0,0.0,1,11,0,0,17,DF,22-151,2002
14,Felipe Anderson,br BRA,Lazio,30.8,1012,1336,75.7,14375,3827,601,690,87.1,320,411,77.9,47,96,49.0,6,6.3,4.7,-0.3,42,66,50,4,126,"FW,MF",31-048,1993
15,Angeliño,es ESP,Roma,12.7,546,715,76.4,9819,3457,257,285,90.2,221,284,77.8,62,123,50.4,1,1.6,1.5,-0.6,19,36,21,13,40,DF,27-150,1997
16,Houssem Aouar,dz ALG,Roma,8.4,300,359,83.6,4459,818,166,181,91.7,113,133,85.0,14,21,66.7,0,0.5,0.6,-0.5,10,25,3,1,26,"MF,FW",25-338,1998
17,Simone Aresti,it ITA,Cagliari,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,GK,38-079,1986
18,Marko Arnautović,at AUT,Inter,8.9,203,271,74.9,2726,533,124,154,80.5,55,68,80.9,8,11,72.7,3,2.6,2.1,+0.4,16,9,10,1,20,FW,35-044,1989
19,Kristjan Asllani,al ALB,Inter,8.7,662,744,89.0,12108,3064,296,306,96.7,284,302,94.0,78,120,65.0,2,1.1,0.8,+0.9,8,47,4,1,32,MF,22-085,2002
20,Emil Audero,it ITA,Inter,3.7,166,197,84.3,3484,2227,44,45,97.8,96,100,96.0,25,49,51.0,0,0.0,0.0,0.0,0,1,0,0,0,GK,27-136,1997
21,Tommaso Augello,it ITA,Cagliari,26.9,919,1329,69.1,16120,7212,418,481,86.9,403,550,73.3,90,233,38.6,1,2.0,2.4,-1.0,27,68,31,20,96,DF,29-277,1994
22,Carlos Augusto,br BRA,Inter,19.2,921,1099,83.8,14740,4852,466,509,91.6,369,422,87.4,61,95,64.2,3,2.8,2.1,+0.2,19,45,15,9,54,DF,25-147,1999
23,Yann Aurel Bisseck,de GER,Inter,10.0,590,641,92.0,10225,2915,238,253,94.1,296,313,94.6,47,55,85.5,0,0.5,0.4,-0.5,1,27,4,1,30,DF,23-186,2000
24,Sardar Azmoun,ir IRN,Roma,6.5,108,156,69.2,1497,361,69,90,76.7,34,42,81.0,2,5,40.0,0,1.4,0.5,-1.4,8,9,4,1,14,"FW,MF",29-153,1995
25,Paulo Azzi,br BRA,Cagliari,10.6,322,487,66.1,5033,2123,175,216,81.0,119,181,65.7,19,59,32.2,0,0.7,0.4,-0.7,9,24,10,6,35,"DF,MF",29-323,1994
26,Oussama El Azzouzi,ma MAR,Bologna,6.1,352,390,90.3,6100,1161,159,174,91.4,138,147,93.9,42,50,84.0,2,0.6,0.2,+1.4,6,21,0,0,19,MF,23-004,2001
27,Milan Badelj,hr CRO,Genoa,28.2,1136,1407,80.7,19451,6788,504,579,87.0,474,547,86.7,110,189,58.2,3,1.1,1.4,+1.9,18,140,23,4,151,MF,35-098,1989
28,Jaime Báez,uy URU,Frosinone,5.6,141,202,69.8,2309,920,68,87,78.2,50,64,78.1,16,33,48.5,0,0.5,0.8,-0.5,8,12,9,0,29,"FW,MF",29-038,1995
29,Nicola Bagnolini,it ITA,Bologna,0.1,2,3,66.7,106,82,1,1,100.0,0,0,,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,GK,20-080,2004
30,Nedim Bajrami,al ALB,Sassuolo,14.6,330,460,71.7,5347,1538,154,186,82.8,134,174,77.0,25,63,39.7,2,2.2,1.6,-0.2,22,16,15,2,49,"MF,FW",25-095,1999
